Page Name,Beginning Of Interval,Page Likes,Page Like Growth,Followers,Follower Growth,Post Count,Total Interactions,Interaction Growth,Interaction Rate,Interactions Per Post,Comments,Shares,Total Reactions (including Likes),Likes,Angry,Haha,Wow,Sad,Love,Photo Posts,Photo Interactions,Photo Interaction Rate,Link Posts,Link Interactions,Link Interaction Rate,Status Posts,Status Interactions,Status Interaction Rate,Facebook Video Posts (excluding Live),Facebook Video Interactions (excluding Live),Facebook Video Interaction Rate (excluding Live),Facebook Live Video Posts,Facebook Live Interactions,Facebook Live Interaction Rate
Facebook Marketplace Community,2023-05-23 23:45:09.278350512,19508346,0.51%,21955952,0.48%,12,15475,31.98%,0.01%,"1,289.58",3984,440,11051,9906,11,145,101,8,831,10,14035,0.01%,0,0,,0,0,,2,1440,0.00%,0,0,
Facebook Security,2023-05-29 15:12:59.381443296,9008277,0.02%,9116606,0.03%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook for Creators,2023-06-04 06:40:49.484536080,1207204,1.16%,1265915,0.81%,2,5182,-77.25%,0.20%,"2,591",1570,125,3487,2662,2,1,20,1,753,2,5182,0.21%,0,0,,0,0,,0,0,,0,0,
Facebook,2023-06-09 22:08:39.587628864,179390295,1%,179390782,1%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-06-15 13:36:29.690721648,179391678,1%,179400760,1%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Cricket on Facebook,2023-06-21 05:04:19.793814432,18752520,-0.04%,18949852,-0.04%,30,4603,-13.35%,0%,153.43,325,103,4175,3812,3,96,44,0,199,0,0,,0,0,,0,0,,30,4603,8.16E-06,0,0,
Facebook Community,2023-06-26 20:32:09.896907216,462010,0.25%,591016,0.08%,0,0,-100%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-07-02 12:00:00.000000000,179390225,1%,179551838,1%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-07-08 03:27:50.103092784,179390593,1%,179957021,1%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook 360,2023-07-13 18:55:40.206185568,3410406,-0.03%,3487373,-0.66%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketing Expert Reminder,2023-07-19 10:23:30.309278352,39224,2.90%,42283,2.78%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-07-25 01:51:20.412371136,179392868,1%,179699584,1%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-07-30 17:19:10.515463920,179375553,1%,183858070,0.99%,2,20122,-23.13%,0.01%,"10,061",5924,886,13312,11792,86,60,33,12,1180,0,0,,0,0,,0,0,,2,20122,0.01%,0,0,
Facebook Gaming,2023-08-05 08:47:00.618556704,10647417,0.03%,12929667,0.09%,3,5130,5.36%,0.01%,"1,710",1476,318,3336,2814,9,16,5,3,427,0,0,,0,0,,0,0,,2,3048,0.01%,1,2082,0.02%
Facebook Public Affairs,2023-08-11 00:14:50.721649488,7600,-0.08%,10317,0.24%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-08-16 15:42:40.824742264,180602256,0.68%,180763862,0.68%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Public Affairs,2023-08-22 07:10:30.927835048,7947,4.57%,10986,6.48%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-08-27 22:38:21.030927832,180597679,0.67%,180598248,0.67%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-09-02 14:06:11.134020616,180597681,0.67%,181165676,0.67%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketing Expert Reminder,2023-09-08 05:34:01.237113400,40954,4.41%,44250,4.65%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-09-13 21:01:51.340206184,180599147,0.68%,185249846,0.76%,2,40308,100.32%,0.01%,"20,154",15017,1394,23897,21241,160,150,98,40,1961,0,0,,0,0,,0,0,,2,40308,0.01%,0,0,
Facebook Security,2023-09-19 12:29:41.443298968,9009873,0.02%,9121587,0.05%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketplace Community,2023-09-25 03:57:31.546391752,19601805,0.48%,22052302,0.44%,13,12143,-21.53%,0%,934.08,3190,337,8616,7728,35,139,34,4,628,6,7435,0.01%,0,0,,0,0,,7,4708,0.00%,0,0,
Facebook Gaming,2023-09-30 19:25:21.649484536,10646073,-0.01%,12933936,0.03%,0,0,-100%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
